car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,engine_in_cc,Seats,manufacture,company_name
C-Class Progressive C 220d,4250000,30686,Diesel,Automatic,1st Owner,1950,5,2020,Mercedes-Benz
Indica eV2 DL BSIII,100000,120000,Diesel,Manual,2nd Owner,1396,5,2013,Tata
Bolero Power Plus SLE,600000,184000,Diesel,Manual,2nd Owner,1493,7,2018,Mahindra
City 1.5 S AT,400000,40000,Petrol,Automatic,1st Owner,1497,5,2009,Honda
Ciaz Delta Diesel,625000,55000,Diesel,Manual,1st Owner,1248,5,2015,Maruti
Grand i10 1.2 Kappa Sportz Option,575000,38000,Petrol,Manual,1st Owner,1197,5,2019,Hyundai
Q3 30 TFSI Premium FWD,2350000,40000,Petrol,Automatic,1st Owner,1395,5,2017,Audi
Santro GS zipDrive - Euro II,135000,60000,Petrol,Manual,2nd Owner,999,5,2006,Hyundai
Bolero SLX,300000,110000,Diesel,Manual,3rd Owner,2523,7,2009,Mahindra
Swift LDI,210000,143000,Diesel,Manual,2nd Owner,1248,5,2011,Maruti
Indica Aqua 1.3 Quadrajet BSIV,125000,110000,Diesel,Manual,3rd Owner,1248,5,2012,Tata
KUV 100 mFALCON D75 K4 Plus,475000,58000,Diesel,Manual,1st Owner,1198,6,2017,Mahindra
City i VTEC SV,550000,65000,Petrol,Manual,2nd Owner,1497,5,2014,Honda
XUV500 AT W10 FWD,925000,78000,Diesel,Automatic,2nd Owner,2179,7,2016,Mahindra
City V MT,390000,58000,Petrol,Manual,1st Owner,1497,5,2010,Honda
XUV500 W10 2WD,1025000,91000,Diesel,Manual,1st Owner,2179,7,2017,Mahindra
XUV500 AT W10 1.99 mHawk,1125000,30000,Diesel,Automatic,1st Owner,1997,7,2016,Mahindra
Baleno 1.2 Zeta,725000,44153,Petrol,Manual,1st Owner,1197,5,2018,Maruti
C-Class C 250d Avantgarde Edition C,3450000,21000,Diesel,Automatic,1st Owner,2143,5,2018,Mercedes-Benz
Seltos HTX G,1400000,19000,Petrol,Manual,1st Owner,1497,5,2020,Kia
Alcazar Signature Diesel AT,1950000,27300,Diesel,Automatic,1st Owner,1493,6,2021,Hyundai
Superb Laurin & klement,3400000,31001,Petrol,Automatic,1st Owner,1984,5,2021,Skoda
KWID 1.0 RXT,310000,50000,Petrol,Manual,1st Owner,999,5,2017,Renault
Wagon R LXI BSII,130000,77000,Petrol,Manual,2nd Owner,998,5,2005,Maruti
Swift Dzire AMT VXI,650000,53000,Petrol,Automatic,1st Owner,1197,5,2018,Maruti
RediGO S,275000,20000,Petrol,Manual,1st Owner,799,5,2017,Datsun
Brio S Option MT,350000,72000,Petrol,Manual,1st Owner,1198,5,2013,Honda
Creta 1.6 VTVT S,890000,26000,Petrol,Manual,1st Owner,1591,5,2016,Hyundai
Amaze S i-Dtech,425000,66000,Diesel,Manual,1st Owner,1498,5,2015,Honda
XF 2.2 Litre Luxury,2200000,69619,Diesel,Automatic,1st Owner,2179,5,2014,Jaguar
Alto K10 VXI AMT,430000,30000,Petrol,Automatic,1st Owner,998,5,2018,Maruti
Wagon R LXI Minor,211000,61000,Petrol,Manual,1st Owner,1061,5,2009,Maruti
Duster 110PS Diesel RxZ AMT,975000,31000,Diesel,Automatic,1st Owner,1461,5,2018,Renault
Polo GT TSI,625000,66000,Petrol,Automatic,1st Owner,1197,5,2015,Volkswagen
Rover Discovery Sport R-Dynamic SE,7200000,7700,Petrol,Automatic,1st Owner,1997,7,2021,Land
XUV700 AX3 AT,1750000,9000,Petrol,Automatic,1st Owner,1999,5,2022,Mahindra
Tigor 1.2 Revotron XT,340000,60000,Petrol,Manual,2nd Owner,1199,5,2017,Tata
Fabia 1.2 MPI Active,110000,110000,Petrol,Manual,3rd Owner,1198,5,2009,Skoda
Seltos HTX Plus AT D,1675000,51001,Diesel,Automatic,1st Owner,1493,5,2020,Kia
Compass 2.0 Limited Plus AT,2100000,56207,Diesel,Automatic,1st Owner,1956,5,2020,Jeep
GLA Class 200 d Sport,2690000,58000,Diesel,Automatic,1st Owner,2143,5,2019,Mercedes-Benz
i20 Diesel Sportz,650000,73290,Diesel,Manual,1st Owner,1396,5,2018,Hyundai
Verna 1.6 CRDi S,790000,44283,Diesel,Manual,1st Owner,1582,5,2017,Hyundai
Celerio VXI AT,425000,48000,Petrol,Automatic,1st Owner,998,5,2016,Maruti
City 1.5 S MT,340000,107500,Petrol,Manual,3rd Owner,1497,5,2010,Honda
Swift 1.3 LXI,99999,80000,Petrol,Manual,3rd Owner,1298,5,2007,Maruti
SX4 Celebration Petrol,200000,90000,Petrol,Manual,2nd Owner,1586,5,2009,Maruti
Vitara Brezza LXI,775000,10000,Petrol,Manual,1st Owner,1462,5,2021,Maruti
Wagon R LXI BS IV,215000,120000,Petrol,Manual,1st Owner,998,5,2011,Maruti
Wagon R LXI BS IV,237000,120000,Petrol,Manual,1st Owner,998,5,2011,Maruti
Zen LX,55000,90000,Petrol,Manual,3rd Owner,993,5,2002,Maruti
KUV 100 NXT G80 K2,425000,46000,Petrol,Manual,1st Owner,1198,6,2018,Mahindra
Sunny XL D,575000,28000,Diesel,Manual,1st Owner,1461,5,2017,Nissan
WR-V SV,825000,24000,Petrol,Manual,1st Owner,1199,5,2020,Honda
WR-V i-VTEC S,690000,23000,Petrol,Manual,1st Owner,1199,5,2018,Honda
WR-V i-VTEC VX,775000,24300,Petrol,Manual,1st Owner,1199,5,2018,Honda
WR-V i-VTEC VX,790000,51000,Petrol,Manual,1st Owner,1199,5,2019,Honda
Seltos GTX Plus DCT,1490000,6000,Petrol,Automatic,1st Owner,1353,5,2020,Kia
Seltos GTX Plus DCT,1725000,12600,Petrol,Automatic,1st Owner,1353,5,2021,Kia
Meridian Limited Opt AT 4x4,3700000,3500,Diesel,Automatic,1st Owner,1956,7,2022,Jeep
i10 Era,230000,120000,Petrol,Manual,1st Owner,1086,5,2011,Hyundai
Grand i10 Nios Sportz CNG,750000,5000,Cng,Manual,1st Owner,1197,5,2022,Hyundai
Santro Xing GLS,135000,120000,Petrol,Manual,4th Owner,1086,5,2010,Hyundai
Jazz V CVT,695000,40000,Petrol,Automatic,1st Owner,1199,5,2018,Honda
City i-VTEC V,785000,96000,Petrol,Manual,1st Owner,1497,5,2018,Honda
City 1.5 S MT,325000,67000,Petrol,Manual,2nd Owner,1497,5,2010,Honda
City i-VTEC V,790000,72000,Petrol,Manual,1st Owner,1497,5,2018,Honda
i10 Magna,321000,89000,Petrol,Manual,1st Owner,1197,5,2013,Hyundai
Polo Diesel Trendline 1.2L,330000,64000,Diesel,Manual,1st Owner,1199,5,2011,Volkswagen
Swift Vdi BSIII,200000,120000,Diesel,Manual,3rd Owner,1248,5,2010,Maruti
Jazz 1.2 SV i VTEC,540000,42000,Petrol,Manual,1st Owner,1199,5,2017,Honda
RediGO T,270000,55000,Petrol,Manual,1st Owner,799,5,2017,Datsun
Santro Era Executive BSIV,495000,30000,Petrol,Manual,1st Owner,1086,5,2019,Hyundai
Hexa XTA,1000000,86500,Diesel,Automatic,2nd Owner,2179,7,2017,Tata
CR-V 2.4L 4WD AT,1050000,59000,Petrol,Automatic,1st Owner,2354,5,2014,Honda
EON Era Plus,310000,15000,Petrol,Manual,1st Owner,814,5,2018,Hyundai
Scorpio S7 140 BSIV,1200000,70000,Diesel,Manual,1st Owner,2179,7,2019,Mahindra
Polo ALLSTAR 1.2 MPI,600000,50000,Petrol,Manual,2nd Owner,1198,5,2017,Volkswagen
Cruze LT,300000,110000,Diesel,Manual,1st Owner,1991,5,2012,Chevrolet
Nexon XMA AMT,925000,13700,Petrol,Automatic,1st Owner,1199,5,2021,Tata
